concentration_g_L,shear_rate_s_inv,eta_mPa_s,eta_Pa_s,x_pdf_pt,y_pdf_pt
0.6,12.60460532990116,2.693697935716598,0.002693697935716598,305.6263732910156,199.0767059326172
0.6,12.759097328296894,2.693697935716598,0.002693697935716598,305.7294921875,199.0767059326172
0.6,12.915529466825491,2.693697935716598,0.002693697935716598,305.8326416015625,199.0767059326172
0.6,13.073832397020023,2.693697935716598,0.002693697935716598,305.9357604980469,199.0767059326172
0.6,13.234075612959126,2.693697935716598,0.002693697935716598,306.03887939453125,199.0767059326172
0.6,13.396282896317393,2.693697935716598,0.002693697935716598,306.1419982910156,199.0767059326172
0.6,13.560478320256383,2.693697935716598,0.002693697935716598,306.2451171875,199.0767059326172
0.6,13.726686252997334,2.693697935716598,0.002693697935716598,306.3482360839844,199.0767059326172
0.6,13.894981456820666,2.693697935716598,0.002693697935716598,306.4513854980469,199.0767059326172
0.6,14.065289324203354,2.693697935716598,0.002693697935716598,306.55450439453125,199.0767059326172
0.6,14.237684619322641,2.693697935716598,0.002693697935716598,306.6576232910156,199.0767059326172
0.6,14.412192927341573,2.693697935716598,0.002693697935716598,306.7607421875,199.0767059326172
0.6,14.588840147015164,2.693697935716598,0.002693697935716598,306.8638610839844,199.0767059326172
0.6,14.767705736337694,2.693697935716598,0.002693697935716598,306.9670104980469,199.0767059326172
0.6,14.948710401792377,2.693697935716598,0.002693697935716598,307.07012939453125,199.0767059326172
0.6,15.131933603389449,2.693697935716598,0.002693697935716598,307.1732482910156,199.0767059326172
0.6,15.31740253326015,2.693697935716598,0.002693697935716598,307.2763671875,199.0767059326172
0.6,15.505144716823935,2.693697935716598,0.002693697935716598,307.3794860839844,199.0767059326172
0.6,15.695188016873544,2.693697935716598,0.002693697935716598,307.48260498046875,199.0767059326172
0.6,15.887617917117558,2.693697935716598,0.002693697935716598,307.58575439453125,199.0767059326172
0.6,16.082349110798077,2.693697935716598,0.002693697935716598,307.6888732910156,199.0767059326172
0.6,16.279467083792518,2.693697935716598,0.002693697935716598,307.7919921875,199.0767059326172
0.6,16.479001090353318,2.693697935716598,0.002693697935716598,307.8951110839844,199.0767059326172
0.6,16.68098074329611,2.693697935716598,0.002693697935716598,307.99822998046875,199.0767059326172
0.6,16.885496895441207,2.693697935716598,0.002693697935716598,308.10137939453125,199.0767059326172
0.6,17.092458882032997,2.693697935716598,0.002693697935716598,308.2044982910156,199.0767059326172
0.6,17.30195755819686,2.693697935716598,0.002693697935716598,308.3076171875,199.0767059326172
0.6,17.51402401560374,2.693697935716598,0.002693697935716598,308.4107360839844,199.0767059326172
0.6,17.728689727008675,2.693697935716598,0.002693697935716598,308.51385498046875,199.0767059326172
0.6,17.94605125157007,2.693697935716598,0.002693697935716598,308.61700439453125,199.0767059326172
0.6,18.166012230006288,2.693697935716598,0.002693697935716598,308.7201232910156,199.0767059326172
0.6,18.388669223925604,2.693697935716598,0.002693697935716598,308.8232421875,199.0767059326172
0.6,18.61405527782315,2.693697935716598,0.002693697935716598,308.9263610839844,199.0767059326172
0.6,18.842203841213532,2.693697935716598,0.002693697935716598,309.02947998046875,199.0767059326172
0.6,19.07314877359499,2.693697935716598,0.002693697935716598,309.1325988769531,199.0767059326172
0.6,19.306993956710755,2.693697935716598,0.002693697935716598,309.2357482910156,199.0767059326172
0.6,19.543635723852077,2.693697935716598,0.002693697935716598,309.3388671875,199.0767059326172
0.6,19.78317795939782,2.693697935716598,0.002693697935716598,309.4419860839844,199.0767059326172
0.6,20.02565621377961,2.693697935716598,0.002693697935716598,309.54510498046875,199.0767059326172
0.6,20.271106473163268,2.693697935716598,0.002693697935716598,309.6482238769531,199.0767059326172
0.6,20.519639143958493,2.693697935716598,0.002693697935716598,309.7513732910156,199.0767059326172
0.6,20.77114404829605,2.693697935716598,0.002693697935716598,309.8544921875,199.0767059326172
0.6,21.025731595386844,2.693697935716598,0.002693697935716598,309.9576110839844,199.0767059326172
0.6,21.2834395685352,2.693697935716598,0.002693697935716598,310.06072998046875,199.0767059326172
0.6,21.544306214147472,2.693697935716598,0.002693697935716598,310.1638488769531,199.0767059326172
0.6,21.808370247408206,2.693697935716598,0.002693697935716598,310.2669677734375,199.0767059326172
0.6,22.075750447421203,2.693697935716598,0.002693697935716598,310.3701171875,199.0767059326172
0.6,22.346328280954573,2.693697935716598,0.002693697935716598,310.4732360839844,199.0767059326172
